,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Kanafeh,,"Azerbaijan, Egypt, Greece, Iran, Israel, Jordan, Lebanon, Palestine, Syria and Turkey",Levant,,,,,,,,, no ,
Kanterkaas ,pasteurized cow's milk,Netherlands,"Friesland, Westerkwartier","hard, artisan",,20-44%,firm and open,natural,yellow,"spicy, strong, tangy","aromatic, pleasant",,
Kapiti Kikorangi,cow's milk,New Zealand,Taranaki,"semi-soft, blue-veined",Blue,,creamy and smooth,bloomy,straw,"buttery, full-flavored, savory",strong, no ,Kapiti Brands NZ Ltd
Kase Mit Schweizer Truffeln,unpasteurized cow's milk,Switzerland,Bern,"semi-soft, artisan",Swiss Cheese,,creamy,natural,cream,creamy,"earthy, mild",,Affineur Walo of Mühlenen
Kashar,unpasteurized cow's milk,United States,Vermont,"hard, artisan",Pasta filata,,dry and firm,mold ripened ,ivory,"buttery, tangy","buttery, spicy", no ,Parish Hill Creamery
Kashkaval,unpasteurized cow's and sheep's milk,"Bulgaria, Lebanon, Macedonia, Romania, Serbia, Syria and Turkey",Eastern Europe,semi-hard,Pasta filata,32%,creamy,waxed,yellow,"nutty, salty",smokey, no ,
Kashta,pasteurized or unpasteurized cow's milk,Middle East,,"fresh soft, whey",,,creamy,natural,white,"full-flavored, sweet","fresh, rich", no ,
Kasseri,unpasteurized goat's and sheep's milk,Greece,,semi-hard,Pasta filata,25-45%,"chewy, firm and springy",rindless,pale yellow,"salty, sweet",pungent, no ,
Keens Cheddar,unpasteurized cow's milk,England,"Wincanton, Somerset","hard, artisan",Cheddar,,creamy,natural,pale yellow,"savory, sharp",rich, no ,
Kefalotyri,pasteurized goat's or sheep's milk,"Cyprus, Greece and Turkey",,hard,,40%,firm and flaky,natural,pale yellow,"salty, sharp, spicy, strong, tangy","rich, strong", no ,
Kefir Blue,unpasteurized cow's milk,United States,NY,"semi-soft, blue-veined",Blue,,crumbly,waxed,pale yellow,"creamy, nutty, sharp, tangy",,,Finger Lakes Dexter Creamery LLC
Kefir Italian Pasta Cheese,unpasteurized cow's milk,United States,NY,"hard, artisan",,,crumbly and firm,natural,pale yellow,"pungent, tangy",pleasant,yes ,Finger Lakes Dexter Creamery LLC
Kefir Peppercorn Cheese,unpasteurized cow's milk,United States,NY,"semi-hard, artisan",,,"creamy, dense and firm",rindless,white,"spicy, tangy",pleasant,,Finger Lakes Dexter Creamery LLC
Kefir Salad,cow's milk,United States,NY,"semi-firm, artisan",,,creamy and firm,rindless,pale yellow,"pungent, tangy",pleasant,,Finger Lakes Dexter Creamery LLC
Kefir Tomato-Garlic,unpasteurized cow's milk,United States,NY,"semi-hard, artisan",,,"creamy, dense and firm",rindless,cream,"garlicky, pungent, sweet, tangy",garlicky,,Finger Lakes Dexter Creamery LLC
Kefir Wine Companion,cow's milk,United States,NY,"semi-hard, artisan",,,crumbly and firm,waxed,pale yellow,"pungent, strong, tangy",pleasant,,Finger Lakes Dexter Creamery LLC
Keltic Gold,pasteurized cow's milk,England,North Cornwall,"semi-hard, artisan",,,creamy and smooth,washed,straw,"creamy, fruity",fruity,,Whalesborough Farm Foods
Kenne,pasteurized goat's milk,United States,"Tomales, California ","soft, artisan",,,soft-ripened,natural,,"earthy, mild","earthy, mild",,Tomales Farmstead Creamery
Kennebec Highlands Caerphilly,pasteurized goat's milk,United States,Maine,"semi-hard, artisan",,,creamy and smooth,waxed,pale yellow,"nutty, salty, tangy","grassy, milky", no ,Kennebec Cheesery
Kernhem,pasteurized cow's milk,Netherlands,Kernhem,soft,Gouda,60%,"firm, open and smooth",washed,yellow,"mild, nutty, sweet",aromatic, no ,
Kervella Affine,unpasteurized goat's milk,Australia,Gidgegannup,"soft, hard, artisan",,,"creamy, firm and flaky",natural,white,"mild, nutty, salty, sweet",, no ,
King Island Cape Wickham Brie,cow's milk,Australia,,soft,Brie,,,,white,,, no ,King Island Dairy
King River Gold,pasteurized or unpasteurized cow's milk,Australia,"Milawa, Victoria","semi-soft, artisan",,,creamy and smooth,washed,,"fruity, mild, smokey ",, no ,Milawa Cheese Company
Kinsman Ridge,unpasteurized cow's milk,United States,Vermont,"semi-soft, artisan",Tomme,,"creamy, firm and smooth",natural,pale yellow,"creamy, savory","buttery, floral, rich", no ,"Jasper Hill Farm, Landaff Creamery, LLC"
Kiri,cow's milk,"France, Japan and Middle East",,"soft, processed",,,creamy,rindless,white,"creamy, mild, sweet",fresh,,BEL Group
Kirkham's Lancashire,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Near Goosnargh, Lancashire","semi-soft, artisan",,,"buttery, creamy, crumbly, fluffy and spreadable",natural,yellow,"creamy, lemony, savory, tangy",, no ,
Klosterkaese,unpasteurized cow's milk,Germany,,"hard, artisan",Gouda,30%,,natural,pale yellow,sweet,fruity, no ,Imokilly Cheese Company
Knockdrinna Gold,pasteurized goat's milk,Ireland,Stoneyford,"semi-hard, artisan",Tomme,,"creamy, crumbly, open and semi firm",natural,white,"mild, nutty, spicy","goaty, pleasant",yes ,Knockdrinna Farmhouse Cheese
Knockdrinna Meadow,pasteurized sheep's milk,Ireland,Stoneyford,"semi-hard, artisan",Tomme,,open and semi firm,natural,white,"caramel, creamy, earthy, meaty, mild, nutty, sweet",,yes ,Knockdrinna Farmhouse Cheese
Kolan Extra Mature,pasteurized cow's milk,Croatia,Dalmatian hinterland,hard,,,brittle and dense,natural,yellow,"full-flavored, nutty",buttery,yes ,SIRANA GLIGORA D.O.O
Konig Ludwig Beercheese,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,yellow,"full-flavored, smooth",aromatic,,Sulzberger Käserebellen Sennerei GmbH
Konig Ludwig King's,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy and smooth,natural,golden yellow,mild,aromatic,,Sulzberger Käserebellen Sennerei GmbH
Kris Lloyd - Artisan Blend,cow's or goat's milk,Australia,Woodside ,"fresh soft, artisan",Feta,,"creamy, crumbly, firm and springy",rindless,white,"herbaceous, mild, milky, spicy","aromatic, herbal, mild, milky",yes ,Woodside Cheese Wrights
Kugelkase,cow's milk,Austria,Danube ,soft,,40%,creamy,,,spicy,, no ,
Kummin,pasteurized cow's milk,Sweden,Oviken ,"hard, artisan",,17%,,natural,yellow,"acidic, full-flavored, sharp, spicy",spicy,,Oviken cheese
Labneh,pasteurized cow's milk,Middle East and United States,,"soft, whey",,5%,creamy,rindless,white,"creamy, milky, salty","fresh, mild", no ,Karoun Dairies Inc.
La Bonaparte,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,28%,"creamy, soft, soft-ripened and supple",bloomy,cream,"creamy, mild, milky","fresh, mild",,La Maison Alexis de Portneuf Inc.
La Casatella,pasteurized cow's milk,Italy,Veneto,"fresh soft, artisan",,,compact and soft,natural,white,"subtle, sweet",lactic, no ,La Casearia Carpenedo S.r.l.
Lacey Grey,pasteurized goat's milk,Canada,"Prince Edward County, Ontario","soft, artisan, soft-ripened",,,creamy and soft,bloomy,white,"acidic, bitter, nutty","clean, herbal",,Fifth Town Artisan Cheese
LaClare Farms Chandoka,pasteurized cow's and goat's milk,United States,,"semi-firm, artisan",Cheddar,,creamy,,ivory,"fruity, tangy",fruity,yes ,LaClare Farms
LaClare Farms Cheddar,pasteurized goat's milk,United States,Wisconsin,"semi-soft, artisan",Cheddar,,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",yes ,LaClare Farms
LaClare Farms Chevre,pasteurized goat's milk,United States,Wisconsin,fresh soft,Cottage,,creamy,rindless,white,"mild, sweet",fresh,yes ,LaClare Farms
LaClare Farms Evalon,pasteurized goat's milk,United States,Wisconsin,"semi-hard, artisan",Gouda,,creamy,natural,ivory,mild,goaty,yes ,LaClare Farms
LaClare Farms Evalon with Cummin,pasteurized goat's milk,United States,Wisconsin,"semi-hard, artisan",Gouda,,creamy,natural,ivory,savory,goaty,yes ,LaClare Farms
LaClare Farms Evalon with Fenugreek,pasteurized goat's milk,United States,Wisconsin,"semi-hard, artisan",Gouda,,creamy,natural,pale yellow,mild,goaty,yes ,LaClare Farms
LaClare Farms Fondry Jack,pasteurized goat's milk,United States,Wisconsin,"fresh soft, artisan",Monterey Jack,,creamy,natural,ivory,mild,fresh,,LaClare Farms
LaClare Farms Martone,pasteurized goat's milk,United States,Wisconsin,semi-soft,Cottage,,creamy,ash coated,white,"sweet, tangy","buttery, fresh",yes ,LaClare Farms
LaClare Farms Raw Goats Milk Cheddar,unpasteurized goat's milk,United States,Wisconsin,"semi-soft, artisan",Cheddar,,creamy,,ivory,"mild, sweet, tangy","fruity, sweet",yes ,LaClare Farms
LaClare Ziege Zacke Blue,pasteurized cow's and goat's milk,United States,Wisconsin,"semi-hard, blue-veined",Blue,,creamy and firm,natural,cream,"creamy, spicy, sweet, tangy","earthy, rich", no ,LaClare Farms
La Couronne - Fort Aged Comte,unpasteurized cow's milk,France and Switzerland,Franche Comté ,semi-hard,,,dense,,pale yellow,"caramel, nutty, sweet",rich,,Cheese Slices
Lacy Swiss,pasteurized cow's milk,United States,,"semi-firm, processed",Swiss Cheese,,"creamy, open and supple",,ivory,"mild, nutty",mild,,"Finlandia, Land O'Lakes, Inc. - Alpine Lace"
Lady Jane,pasteurized cow's milk,Canada,British Columbia,"semi-soft, artisan, soft-ripened",Brie,,"creamy, dense and soft-ripened",mold ripened ,pale yellow,tangy,"earthy, mushroom", no ,The Farm House Natural Cheeses
La Fleurie,pasteurized cow's milk,United States,Vermont,"soft, artisan, soft-ripened",,,"buttery, runny and smooth",mold ripened ,ivory,"buttery, earthy, mushroomy, nutty","earthy, mild",yes ,Willow Hill Farm
Laguiole,unpasteurized cow's milk,France,"Aveyron, Laguiole","semi-hard, artisan",,,"creamy, firm and supple",natural,straw,"sharp, sour, tangy",aromatic, no ,
Lairobell,unpasteurized goat's milk,Scotland and United Kingdom,Orkney Isles,"hard, artisan",,,crumbly and open,natural,pale yellow,"herbaceous, sweet",goaty,yes ,
Lajta,pasteurized cow's milk,Hungary,,soft,,50%,creamy and open,washed,yellow,piquant,"aromatic, stinky, strong", no ,
Lake District Extra Mature Cheddar,cow's milk,United Kingdom,Cumbrian ,"semi-soft, artisan",Cheddar,,creamy,,pale yellow,sweet,rich,yes ,The Lake District Cheese Company
Lake District Mature Cheddar,pasteurized or unpasteurized cow's milk,United Kingdom,Cumbrian ,"soft, artisan",Cheddar,,crumbly and dense,,pale yellow,"savory, sweet",fresh,yes ,The Lake District Cheese Company
Lamb Chopper,pasteurized sheep's milk,Netherlands and United States,California,hard,Gouda,,"dense, firm and smooth",waxed,ivory,"buttery, caramel, creamy, nutty, sweet","mild, sweet",yes ,Cypress Grove Chevre
L'Amuse Brabander Goat Gouda,pasteurized cow's milk,Netherlands,Northern Holland,hard,Gouda,,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",,Essex St. Cheese Co.
L'Amuse Signature Gouda,pasteurized cow's milk,Netherlands,,"hard, artisan",,,"crumbly, crystalline and smooth",waxed,orange,"burnt caramel, caramel, full-flavored, salty",nutty,,Essex St. Cheese Co.
Lanark Blue,unpasteurized sheep's milk,Scotland,,"semi-soft, artisan, blue-veined",Swiss Cheese,,creamy,natural,yellow,salty,strong, no ,
Landaff,unpasteurized cow's milk,United States,New Hampshire,"semi-hard, artisan",,,"creamy, firm and open",natural,straw,"mild, tangy",aromatic,,"Jasper Hill Farm, Landaff Creamery, LLC"
Langres,pasteurized cow's milk,France,Champagne-Ardenne,semi-soft,,,crumbly and firm,washed,orange,"mild, salty",strong, no ,Rians
La Peral,pasteurized cow's milk,Spain,Asturias,"semi-soft, blue-veined",Blue,,"creamy, firm and grainy",natural,pale yellow,"caramel, spicy, sweet","buttery, rich", no ,
Lappi,pasteurized cow's milk,Finland,Lapland,semi-soft,Swiss Cheese,,"creamy, firm, open and smooth",rindless,yellow,"mild, sweet",, no ,
La Pyramide,pasteurized goat's milk,Canada,British Columbia,"semi-soft, artisan",,,dense,ash coated,ivory,"salty, tangy",mild, no ,The Farm House Natural Cheeses
Largo,pasteurized cow's milk,United States,California,"soft, artisan",,,creamy and smooth,bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",,Andante Dairy 
La Rumeur,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,,"buttery, creamy, runny and supple",bloomy,cream,"creamy, mild","mild, milky",,La Maison Alexis de Portneuf Inc.
Laruns,unpasteurized sheep's milk,France,Laruns,"soft, artisan",,,"brittle, firm and supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild, no ,
La Sauvagine,pasteurized cow's milk,Canada,Quebec,soft,,32%,"buttery, creamy, runny and supple",washed,ivory,"buttery, creamy",mushroom,yes ,La Maison Alexis de Portneuf Inc.
La Sauvagine Reserve,pasteurized cow's milk,Canada,Quebec,soft,,38%,"buttery, creamy, runny and supple",washed,ivory,"buttery, creamy, mild, milky",mushroom,yes ,La Maison Alexis de Portneuf Inc.
La Serena,unpasteurized sheep's milk,Spain,Extremadura,soft,,50%,creamy and spreadable,washed,straw,"bitter, full-flavored, sharp, strong","pleasant, strong",yes ,
La Taupiniere,unpasteurized goat's milk,France,Poitou-Charentes,"soft, artisan",,45%,creamy and smooth,natural,white,"sour, tangy","aromatic, nutty", no ,Fromagerie Jousseaume
Latteria Navel,pasteurized cow's milk,Italy, Friuli-Venezia Giulia and the Veneto,"hard, soft-ripened",,,brittle,natural,straw,full-flavored,aromatic,,
Latteria San Biagio,pasteurized cow's milk,Italy,Veneto,"soft, artisan",,,creamy,natural,white,"acidic, sweet",subtle, no ,La Casearia Carpenedo S.r.l.
La Tur,"pasteurized cow's, goat's and sheep's milk",Italy,Alba,"soft, artisan, soft-ripened",Brie,,"creamy, fluffy and soft-ripened",mold ripened ,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty", no ,Caseificio dell'Alta Langa
Laura Chenel's Cabecou ,pasteurized goat's milk,United States,California,fresh firm,,,"creamy, dense and smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",,Laura Chenel's Chevre
Laura Chenel Taupiniere,goat's milk,United States,"Carneros, Sonoma, California","soft, artisan",,,creamy and soft,ash coated,white,"creamy, tart","aromatic, fresh",,Laura Chenel's Chevre
Laura Chenel Tome,pasteurized goat's milk,United States,"Sonoma, California","firm, artisan",Cheddar,,"crumbly, dense and firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",yes ,Laura Chenel's Chevre
La Vache Qui Rit cheese,pasteurized cow's milk,France,,"semi-soft, processed",Swiss Cheese,,"creamy, smooth and spreadable",rindless,pale yellow,"buttery, mild, spicy, tangy",fresh,,BEL Group
L'Aveyronnais,cow's milk,France,massif des Causses,soft,,,,leaf wrapped,white,,grassy, no ,
Lavistown,pasteurized cow's milk,Ireland,Stoneyford,"semi-hard, artisan",,,"crumbly, dry and firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",,yes ,Knockdrinna Farmhouse Cheese
Leafield,sheep's milk,Great Britain,Oxfordshire,"hard, artisan",Brie,48%,chewy,natural,pale yellow,fruity,fruity,yes ,
Lebbene,pasteurized goat's or sheep's milk,Israel,,soft,,45%,,natural,white,mild,mild,,
Le Brebiou,pasteurized sheep's milk,France,Pyrénées-Atlantiques,"semi-soft, artisan, soft-ripened",Brie,26%,"creamy, firm and smooth",bloomy,white,"mild, milky, sweet",musty, no ,
Le Brin,pasteurized cow's milk,France,Rhone-Alps,"semi-soft, artisan",,40%,creamy and spreadable,washed,white,"buttery, sweet","aromatic, nutty, yeasty",yes ,Fromagerie GUILLOTEAU
Le Cendrillon,pasteurized goat's milk,Canada,Quebec,soft,,25%,creamy and smooth,ash coated,ivory,"acidic, pronounced, sour",goaty,,La Maison Alexis de Portneuf Inc.
Le Chevrot,unpasteurized goat's milk,France,Loire Valley,soft,,50%,"creamy, dense and firm",mold ripened ,cream,"herbaceous, nutty, strong","goaty, strong", no ,SEVRE & BELLE
L'Ecir de l'Aubrac,unpasteurized cow's milk,France,Auvergne,"soft, artisan",,,smooth,natural,white,sweet,pleasant, no ,
Le Conquerant Camembert,pasteurized cow's milk,France,"Pays d’Auge, Normandy ","soft, artisan",Camembert,,soft-ripened,waxed,white,"fruity, yeasty",rich, no ,
Le Conquerant Demi Pont L'eveque ,cow's milk,Australia and France,,"soft, artisan",,,"chalky, creamy and soft",washed,,"creamy, mild",pungent,,"Fromagerie Graindorge, Will Studd Enterprizes Pty Ltd"
Le Double Joie,pasteurized cow's and goat's milk,Canada,Quebec,"soft, soft-ripened",Brie,27%,"buttery, creamy and runny",bloomy,cream,"buttery, creamy",mushroom,,La Maison Alexis de Portneuf Inc.
Le Duc Vacherin,pasteurized cow's milk,France,Franche Comté ,"soft, soft-ripened",,,smooth and soft,washed,ivory,"buttery, creamy, lemony, mild","rich, woody",,Fromagerie Jean Perrin
Leerdammer,pasteurized cow's milk,Netherlands,"Schoonrewoerd, Leerdam ",semi-hard,Gouda,,"creamy, open, smooth and springy",natural,white,"mild, nutty, sweet",, no ,Bel UK
Le Fium Orbo,goat's or sheep's milk,France,,soft,,50%,soft-ripened,natural,,,, no ,
Legacy,pasteurized cow's milk,United States,Missouri,"semi-hard, artisan",Gouda,,creamy,rindless,pale yellow,creamy,aromatic,yes ,Heartland Creamery
Legato,pasteurized cow's milk,United States,California,"soft, soft-ripened",Camembert,,creamy and soft-ripened,mold ripened ,pale yellow,full-flavored,strong,yes ,Andante Dairy 
Le Gruyere AOP,unpasteurized cow's milk,Switzerland,,hard,,49-53%,compact,,,sweet,earthy, no ,"Switzerland in Fribourg, Vaud, Jura, Neuchâtel and part of the canton of Bern"
Le Lacandou,unpasteurized sheep's milk,France,Aveyron,"soft, artisan",,45%,creamy,natural,pale yellow,fruity,grassy, no ,
Le Marquis Chevre,goat's milk,France,Rhone Valley ,"soft, artisan",Cheddar,,soft,natural,ivory,"lemony, tangy",mild,,Cheese Slices
Lemon Fetish,pasteurized sheep's milk,Canada,"Prince Edward County, Ontario","fresh firm, artisan",Feta,,crumbly and dry,natural,white,"citrusy, lemony, salty, tangy","clean, lactic",,Fifth Town Artisan Cheese
Lemon Myrtle Chevre,pasteurized goat's milk,Australia,South Australia,"fresh firm, artisan",,45%,"creamy, firm and smooth",rindless,white,"acidic, herbaceous","fresh, herbal",yes ,Woodside Cheese Wrights
Le Moutier,pasteurized goat's milk,Canada,Québec,fresh firm,,,firm,natural,white,sweet,,,Fromagerie de l'Abbaye Saint-Benoît 
L'Empereur,,Canada,Quebec,"soft, artisan",,15%,creamy and supple,washed,cream,"buttery, salty","fruity, milky, nutty",,Fromagerie Fritz Kaiser
Leonora(r),pasteurized goat's milk,Spain,Castilla Leon,"semi-soft, artisan",,,soft-ripened,bloomy,white,"lemony, mushroomy",lactic, no ,Forever Cheese
Le Reflet de Portneuf ,,Canada,Quebec,soft,,30%,buttery and creamy,washed,cream,"buttery, creamy, mushroomy",,,La Maison Alexis de Portneuf Inc.
Le Roule,pasteurized cow's milk,France,Rians,"fresh soft, artisan",,,"creamy, smooth and spreadable",natural,white,"spicy, sweet, tangy",rich, no ,Rians
Les Calendos ,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Camembert,,"creamy, smooth and supple",bloomy,cream,"creamy, full-flavored",,,La Maison Alexis de Portneuf Inc.
Le St-Raymond ,,Canada,Quebec,soft,,20%,smooth and supple,washed,ivory,"fruity, nutty, woody",,,La Maison Alexis de Portneuf Inc.
L'Etoile de St-Raymond,,Canada,Quebec,soft,,35%,buttery and creamy,ash coated,ivory,"buttery, grassy, milky",mushroom,,La Maison Alexis de Portneuf Inc.
Le Wavreumont,unpasteurized cow's milk,Belgium,Wallonia,"semi-soft, artisan",,,"buttery, creamy, semi firm, smooth and soft",washed,pale yellow,"buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",,Fromagerie des Ardennes sprl
Leyden,pasteurized cow's milk,Netherlands,Leiden,"hard, artisan",Gouda,30-40%,firm,waxed,yellow,"buttery, spicy, tangy",aromatic, no ,
Liburnski Sir,"pasteurized cow's, goat's and sheep's milk",Croatia,old Liburnia (Dalmatia),"hard, artisan",,,creamy and open,natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",yes ,SIRANA GLIGORA D.O.O
Liliputas,pasteurized cow's milk,Lithuania,Belvederis,semi-hard,,50%,elastic and firm,waxed,yellow,milky,"fresh, lactic",,
Lil Moo,pasteurized cow's milk,United States,Georgia,soft,,,"creamy, dense and spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",,Sweet Grass Dairy
Limburger,pasteurized cow's milk,"Belgium, Germany and Netherlands",Duchy of Limburg,"semi-soft, smear-ripened",,27 g/100g,"creamy, crumbly, firm and smooth",washed,straw,"grassy, mild, mushroomy",stinky, no ,
Lincoln Log,pasteurized goat's milk,United States,"Ann Arbor, MI ","semi-soft, soft-ripened",,,creamy and dense,mold ripened ,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky", no ,Zingerman's Creamery
Lincolnshire Poacher,unpasteurized cow's milk,England and United Kingdom,Lincolnshire,hard,Cheddar,45%,open and smooth,natural,yellow,"fruity, nutty, savory, sweet",grassy, no ,F.W.Read & Sons Ltd
Lindale,pasteurized cow's milk,United States,North Carolina,"semi-soft, artisan",Gouda,,creamy and smooth,natural,pale yellow,"buttery, sweet",rich, no ,Goat Lady Dairy
Lindy Hop,pasteurized cow's milk,United States,Vermont,"semi-soft, blue-veined",Blue,,creamy,natural,straw,"creamy, grassy, mild","rich, strong", no ,Dancing Cow Farm
Lingot des Causses,unpasteurized goat's milk,France,"Lachapelle Auzac, Midi-Pyrenees","soft, artisan",,,creamy and firm,natural,white,"salty, tangy","goaty, herbal", no ,MONS CHEESEMONGERS
Lingot Saint Bousquet d'Orb,unpasteurized goat's milk,France,Herault,"soft, artisan",Brie,,smooth,natural,white,sweet,herbal, no ,
Liptauer,pasteurized cow's milk,United States,"Ann Arbor, Michigan","fresh soft, artisan",,,,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",yes ,Zingerman's Creamery
Little Black Bomber,pasteurized cow's milk,"Great Britain, United Kingdom and Wales",Rhyl,hard,Cheddar,,creamy and smooth,waxed,cream,"full-flavored, strong",rich,yes ,Snowdonia Cheese Company Limited
Little Bloom on the Prairie,pasteurized goat's milk,United States,Illinois,"soft, soft-ripened",Camembert,,"creamy, dense, smooth and soft-ripened",mold ripened ,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic", no ,Prairie Fruits Farm
Little Colonel,pasteurized cow's milk,"England, Great Britain and United Kingdom",Dorset,"semi-soft, artisan",,,smooth and supple,washed,pale yellow,spicy,pungent,yes ,James’s Cheese
Little Dragon,pasteurized goat's milk,United States,"Ann Arbor, Michigan",soft,,,creamy,,white,"citrusy, creamy, mellow, sweet","fresh, herbal", no ,Zingerman's Creamery
Little Napoleon,pasteurized goat's milk,United States,"Ann Arbor, Michigan","hard, artisan",,,firm,mold ripened ,pale yellow,"acidic, savory","goaty, pungent", no ,Zingerman's Creamery
Little Qualicum Raclette,unpasteurized cow's milk,Canada,British Columbia,"semi-soft, artisan",Raclette,,firm and supple,washed,ivory,"meaty, strong","pungent, stinky",,Little Qualicum Cheeseworks
Little Rydings,unpasteurized sheep's milk,England,North Wootton,"soft, artisan",,48%,"creamy, smooth and springy",mold ripened ,white,"mild, sweet","rich, sweet",yes ,Wootton Organic Dairy
Little Ypsi,pasteurized goat's milk,United States,"Ann Arbor, Michigan","semi-soft, artisan",,,buttery and firm,natural,ivory,buttery,buttery, no ,Zingerman's Creamery
Livarot,pasteurized or unpasteurized cow's milk,France,"Normandy, Livarot","soft, artisan, brined",,40%,"creamy, open, smooth and springy",washed,straw,"citrusy, full-flavored, nutty, spicy","pungent, strong", no ,
Llanboidy,pasteurized cow's milk,Wales,Carmarthenshire,"hard, artisan",Cheddar,,firm and smooth,natural,white,"buttery, spicy","grassy, sweet", no ,Llanboidy 
Llanglofan Farmhouse,unpasteurized cow's milk,"Great Britain, United Kingdom and Wales",Pembrokeshire,"hard, artisan",,45%,"crumbly, firm and smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",yes ,CARMARTHENSHIRE CHEESE COMPANY
Loch Arthur Farmhouse,cow's milk,Scotland,Dumfries,hard,Cheddar,48%,firm,,,nutty,,yes ,Loch Arthur Creamery
Loddiswell Avondale,unpasteurized goat's milk,England,Devon,semi-soft,,,,washed,orange,sweet,goaty, no ,Jocelyn and Bill Martin 
Loma Alta,cow's milk,United States,California,"semi-soft, soft-ripened",Camembert,,firm,mold ripened ,white,"buttery, nutty",rich, no ,Nicasio Valley Cheese Company
Longhorn,pasteurized cow's milk,United States,"Colby, Wisconsin",semi-hard,Cheddar,,"firm, open and springy",rindless,orange,"mild, sweet",, no ,Williams Cheese Company  
Lord of the Hundreds,unpasteurized sheep's milk,United Kingdom,East Sussex,"semi-hard, artisan",,,"firm, grainy and open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",yes ,Traditional Cheese Dairy
Lo Sburrato,unpasteurized sheep's milk,Italy,Tuscany,"semi-soft, artisan",Pecorino,,compact and creamy,natural,straw,"creamy, smooth, sweet",aromatic,,Caseificio Pinzani Srl 
Lo Speziato,pasteurized cow's milk,Italy,"Treviso, Veneto","soft, artisan",,,compact,natural,ivory,"full-flavored, spicy",fresh,,Moro Latteria di Moro Sergio
Lost Lake,pasteurized sheep's milk,Canada,"Prince Edward County, Ontario","fresh firm, artisan, soft-ripened",,,"creamy, semi firm and soft",mold ripened ,white,"creamy, mushroomy","rich, yeasty",,Fifth Town Artisan Cheese
Lou Bergier Pichin,unpasteurized cow's milk,Italy,Piemonte,"semi-soft, artisan",,,"buttery, open and smooth",natural,brown,"citrusy, floral, mushroomy","grassy, milky",yes ,
Lou Palou,cow's milk,France,Pyrénées,semi-soft,,,elastic and smooth,,,,pleasant, no ,
Lou Pevre,unpasteurized goat's milk,France,Provence,"soft, processed",,,smooth,natural,white,acidic,goaty, no ,
Lunetta,pasteurized cow's milk,Canada and Italy,Lombardy,"fresh soft, artisan",,,creamy,natural,white,"creamy, salty","aromatic, fresh",,Fifth Town Artisan Cheese
Lyburn Garlic and Nettle,pasteurized cow's milk,"England, Great Britain and United Kingdom",Landford,"semi-soft, artisan",,,"creamy, open and smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",yes ,Lyburn Farm
Lyburn Gold,pasteurized cow's milk,"England, Great Britain and United Kingdom",Landford,"semi-hard, artisan",Gouda,,"creamy, open and smooth",washed,brownish yellow,nutty,,yes ,Lyburn Farm
Lyburn Lightly Oak Smoked,pasteurized cow's milk,"England, Great Britain and United Kingdom",Landford,"semi-hard, artisan",Gouda,,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,yes ,Lyburn Farm
Lyburn's Winchester,pasteurized cow's milk,"England, Great Britain and United Kingdom",Landford,"hard, artisan",Gouda,,creamy,natural,brownish yellow,"creamy, nutty",,yes ,Lyburn Farm
Maasdam,pasteurized cow's milk,Netherlands,All Holland,semi-hard,Gouda,45%,"creamy, open and supple",waxed,pale yellow,"buttery, nutty, sweet",fruity, no ,FrieslandCampina
Macadamia Nut Cheese,,United States,Brooklyn NY,"firm, artisan",,,firm and spreadable,,brown,"creamy, nutty, sweet",nutty,yes ,Dr. Cow Tree Nut Cheese
Macconais,pasteurized cow's and goat's milk,France,South Burgundy ,"soft, artisan, soft-ripened",Blue,45%,"creamy, firm and smooth",bloomy,cream,"salty, tangy",herbal, no ,
Madrona,goat's milk,United States,Oregon,"semi-soft, artisan",,,creamy,natural,ivory,mild,"fruity, herbal",,Briar Rose Creamery
